World Championship (2025 format),,,,,,,,,,,,World Championship (2027 format),,,,,,,,,,,,
,Ranking points are awarded according to the place in tournament leaderboard ,,,,,,,,,,,,,,,,,,,,,,,
,,for Mercurial Ladder / Sodium Ladder,,,,,,,,,,,,,,,,,,,,,,
,,Leaderboard,,1..,2..,3..,4..,5..,6..,7..,8..,9..,10..,11..,12..,13..,14..,15..,16..,17..,18..,,,
,,0,,350,250,200,160,140,120,100,90,80,70,60,50,40,30,25,20,15,10,,,
,100%,1,1000,340,245,196,158,138,118,99,89,79,69,59,49,39,30,25,20,15,10,,,
-25%,75%,2,750,330,240,192,156,136,116,98,88,78,68,58,48,38,29,24,19,14,9,,,
-15%,64%,3,640,320,235,188,154,134,114,97,87,77,67,57,47,37,29,24,19,14,9,,,
-10%,57%,4,570,310,230,184,152,132,112,96,86,76,66,56,46,36,28,23,18,13,8,,,
-10%,52%,5,520,300,225,180,150,130,110,95,85,75,65,55,45,35,28,23,18,13,8,,,
-8%,48%,6,480,290,220,176,148,128,108,94,84,74,64,54,44,34,27,22,17,12,7,,,
-8%,44%,7,440,280,215,172,146,126,106,93,83,73,63,53,43,33,27,22,17,12,7,,,
-8%,40%,8,400,270,210,168,144,124,104,92,82,72,62,52,42,32,26,21,16,11,6,,,
-8%,37%,9,370,260,205,164,142,122,102,91,81,71,61,51,41,31,26,21,16,11,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Snail Cup,,,,,,,,,,,,,,,,,,for Transcontinental Ladder,,,,,,
1000,,,,-40%,-60%,-75%,,,,,,,,,,,,Leaderboard,,1..,2..,4..,,
,,,100%,60%,24%,6%,,,,,,,,,,,,0,,320,210,10,,
,,MROUND,10,10,5,5,,,,,,,,,,,100%,1,1000,300,200,,,
,,Group Place,Final,Stage 3,Stage 2,Stage 1,,,,,,,,,,-25%,75%,2,750,290,190,,,
,100%,1,1000,,,,,,,,,,,,,-15%,64%,3,640,280,180,,,
-25%,75%,2,750,,,,,,,,,,,,,-10%,57%,4,570,270,170,,,
-12%,66%,3,660,,,,,,,,,,,,,-10%,52%,5,520,260,160,,,
-12%,58%,4,580,350,140,35,,,,,,,,,,-10%,46%,6,460,250,150,,,
-12%,51%,5,510,310,125,30,,,,,,,,,,-10%,42%,7,420,240,140,,,
-12%,45%,6,450,270,110,25,,,,,,,,,,-10%,38%,8,380,230,130,,,
-12%,40%,7,,240,95,15,,,,,,,,,,-10%,34%,9,340,220,120,,,
-12%,35%,8,,210,85,10,,,,,,,,,,,,,,,,,,
-12%,31%,9,,180,75,5,,,,,,,,,,,,,,,,,,
-12%,27%,10,,,65,,,,,,,,,,,,,,,,,,,
-12%,24%,11,,,55,,,,,,,,,,,,,,,,,,,
-12%,21%,12,,,50,,,,,,,,,,,,,,,,,,,
-12%,18%,13,,,45,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Quick & Dirty,,,,,,,,,,,,,,,,,,,,,,,,
600,"Quick & Dirty leaderboard is created by tournament organiser, zadokk, and is available here:",,,,,,,,,,,,,,,,,,,,,,,
,https://docs.google.com/spreadsheets/d/1L29OO3zpoYSJRd4DkJ6rofiWQoy38BDBesw7brKxdTY/,,,,,,,,,,,,,,,,,,,,,,,
,Ranking points are awarded according to the place in tournament leaderbord ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaderboard,,1..,2..,3..,,,,,,,,,,,,,,,,,,
,,0,,180,80,30,,,,,,,,,,,,,,,,,,
,100%,1,600,160,75,25,,,,,,,,,,,,,,,,,,
-25%,75%,2,450,140,70,20,,,,,,,,,,,,,,,,,,
-15%,64%,3,380,130,65,15,,,,,,,,,,,,,,,,,,
-10%,57%,4,340,120,60,10,,,,,,,,,,,,,,,,,,
-10%,52%,5,310,110,55,5,,,,,,,,,,,,,,,,,,
-10%,46%,6,280,100,50,,,,,,,,,,,,,,,,,,,
-10%,42%,7,250,95,45,,,,,,,,,,,,,,,,,,,
-10%,38%,8,230,90,40,,,,,,,,,,,,,,,,,,,
-10%,34%,9,200,85,35,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,IM,,,,,,,,,,,,,,,,,,,,,,,
1,1000,,,,,,,,,,,,,,,,,,,,,,,
2,750,,,,,,,,,,,,,,,,,,,,,,,
3,630,,,,,,,,,,,,,,,,,,,,,,,
4,580,,,,,,,,,,,,,,,,,,,,,,,
5,580,,,,,,,,,,,,,,,,,,,,,,,
6,540,,,,,,,,,,,,,,,,,,,,,,,
7,480,,,,,,,,,,,,,,,,,,,,,,,
8,440,,,,,,,,,,,,,,,,,,,,,,,
9,440,,,,,,,,,,,,,,,,,,,,,,,
10,370,,,,,,,,,,,,,,,,,,,,,,,
11,370,,,,,,,,,,,,,,,,,,,,,,,
12,340,,,,,,,,,,,,,,,,,,,,,,,
13,340,,,,,,,,,,,,,,,,,,,,,,,
14,340,,,,,,,,,,,,,,,,,,,,,,,
15,340,,,,,,,,,,,,,,,,,,,,,,,
16,310,,,,,,,,,,,,,,,,,,,,,,,
17,310,,,,,,,,,,,,,,,,,,,,,,,
18,280,,,,,,,,,,,,,,,,,,,,,,,
19,280,,,,,,,,,,,,,,,,,,,,,,,
20,250,,,,,,,,,,,,,,,,,,,,,,,
21,250,,,,,,,,,,,,,,,,,,,,,,,
22,250,,,,,,,,,,,,,,,,,,,,,,,
23,250,,,,,,,,,,,,,,,,,,,,,,,
24,210,,,,,,,,,,,,,,,,,,,,,,,
25,210,,,,,,,,,,,,,,,,,,,,,,,
26,210,,,,,,,,,,,,,,,,,,,,,,,
27,210,,,,,,,,,,,,,,,,,,,,,,,
28,185,,,,,,,,,,,,,,,,,,,,,,,
29,185,,,,,,,,,,,,,,,,,,,,,,,
30,185,,,,,,,,,,,,,,,,,,,,,,,
31,185,,,,,,,,,,,,,,,,,,,,,,,
32,185,,,,,,,,,,,,,,,,,,,,,,,
33,185,,,,,,,,,,,,,,,,,,,,,,,
34,185,,,,,,,,,,,,,,,,,,,,,,,
35,185,,,,,,,,,,,,,,,,,,,,,,,
36,180,,,,,,,,,,,,,,,,,,,,,,,
37,180,,,,,,,,,,,,,,,,,,,,,,,
38,180,,,,,,,,,,,,,,,,,,,,,,,
39,180,,,,,,,,,,,,,,,,,,,,,,,
40,160,,,,,,,,,,,,,,,,,,,,,,,
41,160,,,,,,,,,,,,,,,,,,,,,,,
42,160,,,,,,,,,,,,,,,,,,,,,,,
43,160,,,,,,,,,,,,,,,,,,,,,,,
44,140,,,,,,,,,,,,,,,,,,,,,,,
45,140,,,,,,,,,,,,,,,,,,,,,,,
46,140,,,,,,,,,,,,,,,,,,,,,,,
47,140,,,,,,,,,,,,,,,,,,,,,,,
48,140,,,,,,,,,,,,,,,,,,,,,,,
49,140,,,,,,,,,,,,,,,,,,,,,,,
50,140,,,,,,,,,,,,,,,,,,,,,,,
51,140,,,,,,,,,,,,,,,,,,,,,,,
52,115,,,,,,,,,,,,,,,,,,,,,,,
53,115,,,,,,,,,,,,,,,,,,,,,,,
54,115,,,,,,,,,,,,,,,,,,,,,,,
55,115,,,,,,,,,,,,,,,,,,,,,,,
56,115,,,,,,,,,,,,,,,,,,,,,,,
57,115,,,,,,,,,,,,,,,,,,,,,,,
58,115,,,,,,,,,,,,,,,,,,,,,,,
59,115,,,,,,,,,,,,,,,,,,,,,,,
60,102,,,,,,,,,,,,,,,,,,,,,,,
61,102,,,,,,,,,,,,,,,,,,,,,,,
62,102,,,,,,,,,,,,,,,,,,,,,,,
63,102,,,,,,,,,,,,,,,,,,,,,,,
64,102,,,,,,,,,,,,,,,,,,,,,,,
65,102,,,,,,,,,,,,,,,,,,,,,,,
66,102,,,,,,,,,,,,,,,,,,,,,,,
67,102,,,,,,,,,,,,,,,,,,,,,,,
68,102,,,,,,,,,,,,,,,,,,,,,,,
69,102,,,,,,,,,,,,,,,,,,,,,,,
70,102,,,,,,,,,,,,,,,,,,,,,,,
71,102,,,,,,,,,,,,,,,,,,,,,,,
72,102,,,,,,,,,,,,,,,,,,,,,,,
73,102,,,,,,,,,,,,,,,,,,,,,,,
74,102,,,,,,,,,,,,,,,,,,,,,,,
75,102,,,,,,,,,,,,,,,,,,,,,,,
76,100,,,,,,,,,,,,,,,,,,,,,,,
77,100,,,,,,,,,,,,,,,,,,,,,,,
78,100,,,,,,,,,,,,,,,,,,,,,,,
79,100,,,,,,,,,,,,,,,,,,,,,,,
80,100,,,,,,,,,,,,,,,,,,,,,,,
81,100,,,,,,,,,,,,,,,,,,,,,,,
82,100,,,,,,,,,,,,,,,,,,,,,,,
83,100,,,,,,,,,,,,,,,,,,,,,,,
84,90,,,,,,,,,,,,,,,,,,,,,,,
85,90,,,,,,,,,,,,,,,,,,,,,,,
86,90,,,,,,,,,,,,,,,,,,,,,,,
87,90,,,,,,,,,,,,,,,,,,,,,,,
88,90,,,,,,,,,,,,,,,,,,,,,,,
89,90,,,,,,,,,,,,,,,,,,,,,,,
90,90,,,,,,,,,,,,,,,,,,,,,,,
91,90,,,,,,,,,,,,,,,,,,,,,,,
92,76,,,,,,,,,,,,,,,,,,,,,,,
93,76,,,,,,,,,,,,,,,,,,,,,,,
94,76,,,,,,,,,,,,,,,,,,,,,,,
95,76,,,,,,,,,,,,,,,,,,,,,,,
96,76,,,,,,,,,,,,,,,,,,,,,,,
97,76,,,,,,,,,,,,,,,,,,,,,,,
98,76,,,,,,,,,,,,,,,,,,,,,,,
99,76,,,,,,,,,,,,,,,,,,,,,,,
100,76,,,,,,,,,,,,,,,,,,,,,,,
101,76,,,,,,,,,,,,,,,,,,,,,,,
102,76,,,,,,,,,,,,,,,,,,,,,,,
103,76,,,,,,,,,,,,,,,,,,,,,,,
104,76,,,,,,,,,,,,,,,,,,,,,,,
105,76,,,,,,,,,,,,,,,,,,,,,,,
106,76,,,,,,,,,,,,,,,,,,,,,,,
107,76,,,,,,,,,,,,,,,,,,,,,,,
108,64,,,,,,,,,,,,,,,,,,,,,,,
109,64,,,,,,,,,,,,,,,,,,,,,,,
110,64,,,,,,,,,,,,,,,,,,,,,,,
111,64,,,,,,,,,,,,,,,,,,,,,,,
112,64,,,,,,,,,,,,,,,,,,,,,,,
113,64,,,,,,,,,,,,,,,,,,,,,,,
114,64,,,,,,,,,,,,,,,,,,,,,,,
115,64,,,,,,,,,,,,,,,,,,,,,,,
116,64,,,,,,,,,,,,,,,,,,,,,,,
117,64,,,,,,,,,,,,,,,,,,,,,,,
118,64,,,,,,,,,,,,,,,,,,,,,,,
119,64,,,,,,,,,,,,,,,,,,,,,,,
120,64,,,,,,,,,,,,,,,,,,,,,,,
121,64,,,,,,,,,,,,,,,,,,,,,,,
122,64,,,,,,,,,,,,,,,,,,,,,,,
123,64,,,,,,,,,,,,,,,,,,,,,,,
124,56,,,,,,,,,,,,,,,,,,,,,,,
125,56,,,,,,,,,,,,,,,,,,,,,,,
126,56,,,,,,,,,,,,,,,,,,,,,,,
127,56,,,,,,,,,,,,,,,,,,,,,,,
128,56,,,,,,,,,,,,,,,,,,,,,,,
129,56,,,,,,,,,,,,,,,,,,,,,,,
130,56,,,,,,,,,,,,,,,,,,,,,,,
131,56,,,,,,,,,,,,,,,,,,,,,,,
132,56,,,,,,,,,,,,,,,,,,,,,,,
133,56,,,,,,,,,,,,,,,,,,,,,,,
134,56,,,,,,,,,,,,,,,,,,,,,,,
135,56,,,,,,,,,,,,,,,,,,,,,,,
136,56,,,,,,,,,,,,,,,,,,,,,,,
137,56,,,,,,,,,,,,,,,,,,,,,,,
138,56,,,,,,,,,,,,,,,,,,,,,,,
139,56,,,,,,,,,,,,,,,,,,,,,,,
140,56,,,,,,,,,,,,,,,,,,,,,,,
141,56,,,,,,,,,,,,,,,,,,,,,,,
142,56,,,,,,,,,,,,,,,,,,,,,,,
143,56,,,,,,,,,,,,,,,,,,,,,,,
144,56,,,,,,,,,,,,,,,,,,,,,,,
145,56,,,,,,,,,,,,,,,,,,,,,,,
146,56,,,,,,,,,,,,,,,,,,,,,,,
147,56,,,,,,,,,,,,,,,,,,,,,,,
148,56,,,,,,,,,,,,,,,,,,,,,,,
149,56,,,,,,,,,,,,,,,,,,,,,,,
150,56,,,,,,,,,,,,,,,,,,,,,,,
151,56,,,,,,,,,,,,,,,,,,,,,,,
152,56,,,,,,,,,,,,,,,,,,,,,,,
153,56,,,,,,,,,,,,,,,,,,,,,,,
154,56,,,,,,,,,,,,,,,,,,,,,,,
155,56,,,,,,,,,,,,,,,,,,,,,,,
156,55,,,,,,,,,,,,,,,,,,,,,,,
157,55,,,,,,,,,,,,,,,,,,,,,,,
158,55,,,,,,,,,,,,,,,,,,,,,,,
159,55,,,,,,,,,,,,,,,,,,,,,,,
160,55,,,,,,,,,,,,,,,,,,,,,,,
161,55,,,,,,,,,,,,,,,,,,,,,,,
162,55,,,,,,,,,,,,,,,,,,,,,,,
163,55,,,,,,,,,,,,,,,,,,,,,,,
164,55,,,,,,,,,,,,,,,,,,,,,,,
165,55,,,,,,,,,,,,,,,,,,,,,,,
166,55,,,,,,,,,,,,,,,,,,,,,,,
167,55,,,,,,,,,,,,,,,,,,,,,,,
168,55,,,,,,,,,,,,,,,,,,,,,,,
169,55,,,,,,,,,,,,,,,,,,,,,,,
170,55,,,,,,,,,,,,,,,,,,,,,,,
171,55,,,,,,,,,,,,,,,,,,,,,,,
172,49,,,,,,,,,,,,,,,,,,,,,,,
173,49,,,,,,,,,,,,,,,,,,,,,,,
174,49,,,,,,,,,,,,,,,,,,,,,,,
175,49,,,,,,,,,,,,,,,,,,,,,,,
176,49,,,,,,,,,,,,,,,,,,,,,,,
177,49,,,,,,,,,,,,,,,,,,,,,,,
178,49,,,,,,,,,,,,,,,,,,,,,,,
179,49,,,,,,,,,,,,,,,,,,,,,,,
180,49,,,,,,,,,,,,,,,,,,,,,,,
181,49,,,,,,,,,,,,,,,,,,,,,,,
182,49,,,,,,,,,,,,,,,,,,,,,,,
183,49,,,,,,,,,,,,,,,,,,,,,,,
184,49,,,,,,,,,,,,,,,,,,,,,,,
185,49,,,,,,,,,,,,,,,,,,,,,,,
186,49,,,,,,,,,,,,,,,,,,,,,,,
187,49,,,,,,,,,,,,,,,,,,,,,,,
188,42,,,,,,,,,,,,,,,,,,,,,,,
189,42,,,,,,,,,,,,,,,,,,,,,,,
190,42,,,,,,,,,,,,,,,,,,,,,,,
191,42,,,,,,,,,,,,,,,,,,,,,,,
192,42,,,,,,,,,,,,,,,,,,,,,,,
193,42,,,,,,,,,,,,,,,,,,,,,,,
194,42,,,,,,,,,,,,,,,,,,,,,,,
195,42,,,,,,,,,,,,,,,,,,,,,,,
196,42,,,,,,,,,,,,,,,,,,,,,,,
197,42,,,,,,,,,,,,,,,,,,,,,,,
198,42,,,,,,,,,,,,,,,,,,,,,,,
199,42,,,,,,,,,,,,,,,,,,,,,,,
200,42,,,,,,,,,,,,,,,,,,,,,,,
201,42,,,,,,,,,,,,,,,,,,,,,,,
202,42,,,,,,,,,,,,,,,,,,,,,,,
203,42,,,,,,,,,,,,,,,,,,,,,,,
204,42,,,,,,,,,,,,,,,,,,,,,,,
205,42,,,,,,,,,,,,,,,,,,,,,,,
206,42,,,,,,,,,,,,,,,,,,,,,,,
207,42,,,,,,,,,,,,,,,,,,,,,,,
208,42,,,,,,,,,,,,,,,,,,,,,,,
209,42,,,,,,,,,,,,,,,,,,,,,,,
210,42,,,,,,,,,,,,,,,,,,,,,,,
211,42,,,,,,,,,,,,,,,,,,,,,,,
212,42,,,,,,,,,,,,,,,,,,,,,,,
213,42,,,,,,,,,,,,,,,,,,,,,,,
214,42,,,,,,,,,,,,,,,,,,,,,,,
215,42,,,,,,,,,,,,,,,,,,,,,,,
216,42,,,,,,,,,,,,,,,,,,,,,,,
217,42,,,,,,,,,,,,,,,,,,,,,,,
218,42,,,,,,,,,,,,,,,,,,,,,,,
219,42,,,,,,,,,,,,,,,,,,,,,,,
220,35,,,,,,,,,,,,,,,,,,,,,,,
221,35,,,,,,,,,,,,,,,,,,,,,,,
222,35,,,,,,,,,,,,,,,,,,,,,,,
223,35,,,,,,,,,,,,,,,,,,,,,,,
224,35,,,,,,,,,,,,,,,,,,,,,,,
225,35,,,,,,,,,,,,,,,,,,,,,,,
226,35,,,,,,,,,,,,,,,,,,,,,,,
227,35,,,,,,,,,,,,,,,,,,,,,,,
228,35,,,,,,,,,,,,,,,,,,,,,,,
229,35,,,,,,,,,,,,,,,,,,,,,,,
230,35,,,,,,,,,,,,,,,,,,,,,,,
231,35,,,,,,,,,,,,,,,,,,,,,,,
232,35,,,,,,,,,,,,,,,,,,,,,,,
233,35,,,,,,,,,,,,,,,,,,,,,,,
234,35,,,,,,,,,,,,,,,,,,,,,,,
235,35,,,,,,,,,,,,,,,,,,,,,,,
236,35,,,,,,,,,,,,,,,,,,,,,,,
237,35,,,,,,,,,,,,,,,,,,,,,,,
