,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd round,DarKStyle,Sylvain,Fourierrr,DANeo,funestus,Thisisnotasmile,pigfans,Weidenbaum,pv4,ChampDeGlace,Cogito3,maxolino,mwi,Sunmaster14_LV,barboucha,Martin_Pecheur,a440,kyshantry,ERock37,Vovka,ElKhan,Dazzy,ed_vins,wolvs,St4nkk,Shadowiscool500,totsilence,Gelato,Jaracz,Watlersen,Dantes,Grozz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mikechike,PlanarFreak,zoldaria,ElChupacabra,Papaver,Spartan1337,takusto_II,ciufile,lhrljr,PhiTrigger,Raffaello,Victory7,rcia,belowfox,GerisNezus,theussner79,bryanckh,IdkIdcIdgaf,Momomillion,Phalanxx,jantteri,Skaiwalker,moemoe,Diogenes (LL),KarlThomas,maximpodg,Lander90,Turdle,saru,DieKrake89,RestlessMe,Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MrBiz,treitze,holy834,peposqui,St-Amadeus,Olesch,pajada,amaj,NFGM,LordMichael,321letsjam,Tamirys,Dragonite,Dakeyras,SimTubez,Sellux,Dethar,Gandin,Ristey,DrRerNate,Tordread,brunoerwin,Huettengaudi,Vantablack,Drikhen,andykr,Unterjochen,Gyphon,jezza101,SpartacusImperator,Obinger_Alphons,pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spence2102,Nightvayne,eNroamer,LeonidasI,maunzzz,BitterBlossom,zhangyuchen,Pitor,Sonder.,flutter,yaop,Amorin,Sektat,Dayvs,Aranwar,Boromir7,MidnightFox,eggmancs,ben0728,schwam,Gagic,BoatyMcBoatface,jhutc,Budde,Doobie,Praetorianer,delonecarter,ZioKhan,Dzsabo,Yookie,Masox,Kharny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualified ,DarKStyle,Sylvain,zoldaria,DANeo,funestus,Spartan1337,pigfans,Pitor,Sonder.,PhiTrigger,321letsjam,Amorin,Sektat,Dakeyras,barboucha,Sellux,a440,Gandin,ERock37,Vovka,Gagic,BoatyMcBoatface,Huettengaudi,Budde,Drikhen,Praetorianer,totsilence,Gyphon,Jaracz,DieKrake89,RestlessMe,Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MrBiz,PlanarFreak,eNroamer,LeonidasI,St-Amadeus,BitterBlossom,zhangyuchen,Weidenbaum,pv4,LordMichael,yaop,maxolino,mwi,Dayvs,Aranwar,Boromir7,Dethar,eggmancs,Momomillion,Phalanxx,Tordread,Dazzy,ed_vins,Vantablack,KarlThomas,maximpodg,Unterjochen,Turdle,saru,Yookie,Masox,Grozz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd round,Sektat,zoldaria,funestus,Budde,Sonder.,Gyphon,Sylvain,barboucha,a440,ERock37,Gagic,Huettengaudi,Drikhen,totsilence,Jaracz,RestlessMe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DarKStyle,Praetorianer,Barnes,Pitor,BoatyMcBoatface,Amorin,Dakeyras,Sellux,Gandin,Vovka,PhiTrigger,pigfans,DANeo,321letsjam,DieKrake89,Spartan1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eNroamer,Masox,zhangyuchen,mwi,yaop,Boromir7,Aranwar,St-Amadeus,maxolino,LeonidasI,ed_vins,Tordread,Unterjochen,KarlThomas,MrBiz,saru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dethar,PlanarFreak,maximpodg,BitterBlossom,Momomillion,LordMichael,pv4,Dayvs,Phalanxx,eggmancs,Vantablack,Dazzy,Turdle,Weidenbaum,Grozz,Yookie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualified ,eNroamer,Masox,zhangyuchen,Pitor,Sonder.,Boromir7,Aranwar,Sellux,maxolino,Vovka,PhiTrigger,Huettengaudi,DANeo,Weidenbaum,Grozz,saru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sektat,PlanarFreak,maximpodg,Budde,BoatyMcBoatface,Amorin,pv4,barboucha,a440,ERock37,Gagic,pigfans,Drikhen,totsilence,MrBiz,Spartan1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th round,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eNroamer,zhangyuchen,Sonder.,Aranwar,maxolino,PhiTrigger,DANeo,Grozz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Masox,Pitor,Boromir7,Sellux,Vovka,Huettengaudi,Weidenbaum,saru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maximpodg,Sektat,pv4,BoatyMcBoatface,Gagic,a440,MrBiz,Drikhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budde,PlanarFreak,barboucha,Amorin,pigfans,ERock37,Spartan1337,totsilence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualified ,maximpodg,zhangyuchen,pv4,Aranwar,pigfans,ERock37,Weidenbaum,Grozz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budde,Pitor,barboucha,Sellux,Vovka,Huettengaudi,DANeo,totsilence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterfinals,Group 1,Group 2,Group 3,Group 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maximpodg,pv4,pigfans,Weidenbaum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zhangyuchen,Aranwar,ERock37,Grozz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,barboucha,Budde,DANeo,Vovka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sellux,Pitor,totsilence,Huettengaudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualified ,barboucha,Pitor,pigfans,Weidenbaum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maximpodg,pv4,DANeo,Grozz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semifinals,Group 1,Group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,barboucha,pigfans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pitor,Weidenbaum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DANeo,maximpodg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grozz,pv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualified ,barboucha,Weidenbaum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pitor,pv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Final,Group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,barboucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weidenbaum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winner,pv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runner-up,barboucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd spot,Weidenbaum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th spot,Pitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
